AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
-136,-123,4186,-97,-66,-13,-42,226,-98
-647,34,4718,1094,364,-360,-37,219,-109
-237,268,4631,1180,214,-453,-26,213,-118
-759,499,4207,1272,103,-601,0,192,-149
-1090,984,3481,1116,410,-423,25,156,-193
-1246,1306,3230,1027,92,-466,48,100,-210
-1391,1450,2809,1086,152,-254,76,54,-216
-1434,2232,2392,1028,-239,9,100,-2,-209
-1055,2658,1938,-40,122,53,93,-57,-205
-945,2800,1951,-437,-338,-22,98,-72,-202
-802,2222,2360,-1081,-336,-179,91,-59,-216
-728,1346,3116,-1330,-324,-155,79,-20,-223
-793,894,3695,-1195,-153,-150,63,61,-239
-1007,503,3746,-1232,-19,-112,57,136,-228
-564,-187,4719,-1236,-72,-355,65,212,-195
-732,-474,4025,-1223,-106,-320,70,272,-139
-663,-1048,4267,-1221,-313,-234,73,310,-58
-602,-1722,4109,-1076,27,-251,86,314,41
-593,-1774,3809,-881,-91,-316,132,248,124
,,,,,,,,
-176,-2858,5747,-837,80,-318,209,155,147
-749,336,4037,13,28,18,8,146,-102
-796,899,4045,896,161,-486,21,132,-133
-852,997,4009,867,-105,-604,21,129,-136
-1103,779,4122,775,-45,-468,34,118,-158
-1271,1352,3368,935,244,-196,45,100,-190
-1190,1296,3411,811,-131,-224,57,52,-214
-990,2011,2640,887,-27,-35,69,20,-226
-1054,2125,2708,789,-296,-85,70,-26,-222
-1086,2518,1897,313,-179,-102,57,-77,-229
-744,2746,1541,-551,-364,117,49,-99,-220
-265,2304,2215,-1154,-352,-6,35,-90,-230
-546,1435,3142,-1478,-405,-16,14,-31,-253
-160,924,3355,-1469,-147,-62,-2,55,-264
-15,173,3849,-1511,-250,-105,-10,147,-245
-124,-546,4077,-1467,1,-225,-5,216,-205
-200,-1240,4422,-1447,-155,-116,12,291,-122
-430,-1715,4213,-1106,-49,-125,58,312,-11
-26,-2025,4083,-742,-254,-132,125,229,69
-100,-2192,3751,-670,-278,-145,211,129,82
,,,,,,,,
57,-2511,3569,-660,1,26,311,48,-21
-418,411,4056,0,25,4,-22,120,-134
-1026,912,3760,608,-106,-637,5,104,-156
-1036,805,4154,632,-115,-561,13,102,-160
-1011,1043,3742,817,495,-232,22,98,-178
-1119,1213,3636,923,262,-278,40,77,-201
-1156,1485,3345,816,30,-346,60,39,-214
-1425,1735,3094,956,-33,-212,75,2,-216
-1490,2092,2324,929,-232,-270,80,-37,-220
-1284,2698,1798,382,-293,12,80,-86,-211
-573,2873,2061,-308,-198,182,68,-119,-208
-701,2720,2103,-814,-125,51,53,-124,-215
-899,1914,2421,-1235,-509,45,37,-91,-227
-496,1144,2924,-1618,-412,6,23,-12,-242
-139,566,3854,-1719,118,-88,0,74,-252
-158,-631,4596,-1931,257,-297,15,170,-213
-794,-1300,3935,-1944,-137,-410,35,257,-124
-468,-2076,4436,-1708,-148,-342,74,292,13
-451,-2731,4947,-927,-400,-137,167,200,113
-407,-2643,3870,-729,-70,-110,292,78,71
,,,,,,,,
-97,-2525,3501,-380,-197,-47,451,36,-126
-95,-168,4079,34,12,-44,-70,174,-134
-67,275,4561,1039,184,-684,-55,170,-143
-128,402,4398,1112,171,-596,-47,165,-152
-581,614,4164,1001,-9,-410,-34,148,-176
-716,318,4406,1209,224,-413,-25,120,-204
-985,1015,3416,1543,602,-285,-13,71,-240
-1123,2006,2345,1368,656,95,10,-18,-233
-727,2770,1891,850,-83,49,41,-102,-206
-697,3309,1277,-96,-2,93,40,-160,-185
-707,3096,1851,-992,-409,-30,34,-169,-187
-708,2136,2260,-1527,-667,-169,27,-129,-204
-561,862,3164,-2075,-705,42,10,-66,-229
95,164,3274,-1814,-121,-92,-16,53,-245
-33,-649,4045,-1740,-159,-230,-13,173,-206
-6,-1587,3981,-1748,-263,-282,3,250,-123
